Count of Acquisition Date,Column Labels,,,,
Row Labels,Female,Male,Not Defined,(blank),Grand Total
Acquired through the Lillie P. Bliss Bequest,,3,,,3
Anonymous Gift,2,115,2,,119
Collection Museum of Modern Art,1,1,,,2
Courtesy Dr. Genthe,,1,,,1
Courtesy of Dr. Edgerton,,1,,,1
Courtesy Victor Barthélemy,,4,,,4
Gift of A. Conger Goodyear,,5,,,5
Gift of Abby Aldrich Rockefeller,,29,,,29
Gift of Albert D. Lasker,,1,,,1
Gift of Albert M. Bender,,1,,,1
Gift of Allen Porter,,1,,,1
Gift of Ansel Adams in memory of Albert M. Bender,,35,,,35
Gift of Bernard Davis,,2,,,2
Gift of Carl Van Vechten,,1,,,1
Gift of Charles Sheeler,,4,,,4
Gift of Curt Valentin,,2,,,2
Gift of De Hirsh Margules,,1,,,1
Gift of Dr. Julius Spitzer,,1,,,1
Gift of Duncan Phillips,,1,,,1
"Gift of Edgar Kaufmann, Jr.",,,1,,1
Gift of Edward M. M. Warburg,1,11,,,12
Gift of Fortune Magazine,2,1,,,3
Gift of Fritz Henle,,17,,,17
Gift of J. B. Neumann,,11,,,11
Gift of J.N. Bartfield,,13,,,13
Gift of James Thrall Soby,,100,,,100
Gift of Jane Felix White,,1,,,1
Gift of Jay Leyda,,,1,,1
Gift of Leigh Athearn,,1,,,1
Gift of Leopold Stokowski,,1,,,1
Gift of Lewis & Conger,,1,,,1
Gift of Lincoln Kirstein,11,53,,,64
Gift of Milton Halsey Thomas,,3,,,3
Gift of Miss Jeanne Reynal,,1,,,1
"Gift of Mr. and Mrs. R. Kirk Askew, Jr.",,1,,,1
Gift of Mr. and Mrs. Walter Hochschild,,1,,,1
Gift of Mrs. Marjorie Falk,2,,,,2
Gift of Mrs. Patricia B. Kerns,31,,,,31
Gift of Mrs. Sally Kamin,,13,,,13
Gift of Mrs. Simon Guggenheim,,1,,,1
Gift of Nelson A. Rockefeller,1,1,,,2
Gift of Orrefors Galleries,,1,,,1
Gift of Philip Goodwin,,1,,,1
Gift of Philip Johnson,,1,,,1
Gift of Sam A. Lewisohn,,1,,,1
"Gift of Swedlow Lehman, Inc.",,1,,,1
Gift of T. Catesby Jones,,2,,,2
Gift of the Advisory Committee (by exchange),,1,,,1
Gift of the artist,1,35,,,36
Gift of the Artist. Restored with funding from the National Endowment for the Arts,,1,,,1
Gift of the Boston Post,,,1,,1
Gift of the Farm Security Administration,8,40,,,48
Gift of The London Bulletin,,1,,,1
Gift of the manufacturer,,,1,,1
Gift of the photographer,1,65,1,,67
Gift of the Times Wide World Photos,,,1,,1
Gift of Vico Baer,,3,,,3
Given anonymously,5,32,,,37
Given anonymously (by exchange),,1,,,1
Mrs. Simon Guggenheim Fund,,1,,,1
Photography Purchase Fund,3,26,3,,32
Pictures for Children Competition,,,1,,1
Purchase,15,98,5,,118
Transferred from the Museum Library,,5,,,5
Van Gogh Purchase Fund,,2,,,2
(blank),3,1,,,4
1942,79,720,24,,823
Abby Aldrich Rockefeller Fund,1,4,2,,7
Acquired through the Lillie P. Bliss Bequest,,17,,,17
Anonymous Gift,,42,,,42
Gift of Abby Aldrich Rockefeller,,2,,,2
"Gift of Bloomingdale Bros., Inc.",,,1,,1
Gift of Charles F. Bopes,,,1,,1
Gift of Curt Valentin,,3,,,3
Gift of Dr. C. M. Ramírez Corría,,1,,,1
Gift of Dr. Román Fresnedo Siri,,1,,,1
"Gift of Edgar Kaufmann, Jr.",1,17,,,18
Gift of James Johnson Sweeney,,9,,,9
Gift of James Thrall Soby,,1,,,1
Gift of Le Petit Mouchoir,,,1,,1
Gift of Lewis & Conger,,1,2,,3
Gift of Lewis & Conger Inc.,,,1,,1
Gift of Lincoln Kirstein,,1,,,1
Gift of Mrs. David M. Levy,,30,,,30
Gift of Mrs. Edgar J. Kaufmann,,1,,,1
Gift of Mrs. Kenneth Simpson,1,,,,1
Gift of Mrs. Ralph Seward Allen,,2,,,2
Gift of Mrs. Sadie A. May,,1,,,1
Gift of Paul Magriel,,20,,,20
Gift of Philip Johnson,,1,,,1
Gift of R.H. Macy & Co.,,,1,,1
Gift of Sam A. Lewisohn (by exchange),,2,,,2
Gift of Samuel M. Kootz,,12,,,12
Gift of Selznick International Pictures. Preserved with funding from the Celeste Bartos Film Preservation Fund,,1,,,1
"Gift of the American Academy and National Institute of Arts and Letters Fund, through the American British Art Center",,1,,,1
Gift of the artist,,140,,,140
Gift of the Comisión Cubana de Cooperación Intelectual,,1,,,1
Gift of the designer,13,1,,,14
Gift of the photographer,,53,,,53
Given anonymously,,86,1,,87
Given anonymously (by exchange),,2,,,2
