Count of Acquisition Date,Column Labels,,,,
Row Labels,Female,Male,Not Defined,(blank),Grand Total
"Gift of the Jerome Foundation in honor of its founder, Jerome Hill",1,1,,,2
Gift of The Josef and Anni Albers Foundation in memory of Joseph Fearer,12,13,,,25
Gift of The Junior Associates of The Museum of Modern Art,,15,,,15
"Gift of The Lauder Foundation, Leonard and Evelyn Lauder Fund",,1,,,1
Gift of the manufacturer,,9,7,,16
Gift of the Oiticica Family,,2,,,2
Gift of The Over Holland Foundation,,1,,,1
Gift of the Peter Norton Family Foundation,,2,,,2
Gift of the photographer,3,4,,,7
"Gift of the photographer and PaceWildensteinMacGill, New York",,1,,,1
Gift of The Print Club of New York,,1,,,1
Gift of the Rodchenko family,,7,,,7
Gift of Thomas Walther,1,,,,1
Gift of Tony Ganz in memory of Sally Ganz and her friendship with Robert Storr,1,,,,1
Gift of Tricia Collins,,2,,,2
Gift of Walter Chrysler,,1,,,1
Gift of William S. Susman and Emily Glasser (through the Contemporary Arts Council),,2,,,2
Gift of Woodrow Campbell,2,,,,2
Gift on behalf of The Friends of Education of The Museum of Modern Art,18,,,,18
Gilbert Kaplan Fund,,4,,,4
Given anonymously,2,3,,,5
"Given anonymously and David Rockefeller, Jr. Purchase Fund",,,1,,1
Grace M. Mayer Bequest,,7,1,,8
Harry Kahn Fund,,1,,,1
Helen Acheson Bequest (by exchange) and gift of Douglas S. Cramer,,1,,,1
Helen Acheson Bequest (by exchange) and gift of Joseph Helman,,1,,,1
Horace W. Goldsmith Fund through Robert B. Menschel,1,,,,1
Howard B. Johnson Fund in memory of Evelyn T. Bates,,1,,,1
Jacqueline Brody Fund,1,1,,,2
Jacqueline Brody Fund and The Friends of Education Fund,,1,,,1
Joel and Anne Ehrenkranz Fund,,1,,,1
Johanna and Leslie Garfield Fund,,2,,,2
Johanna and Leslie J. Garfield Fund,,3,,,3
John B. Turner Fund,2,,,,2
John Parkinson III Fund,1,1,1,,3
Kathleen Brockhurst Bequest,,1,,,1
Lee and Ann Fensterstock Fund,,1,,,1
Linda Barth Goldstein Fund,3,7,,,10
Lois and Bruce Zenkel Fund,,2,,,2
Marcel Breuer Purchase Fund,,2,,,2
Marcia Riklis Fund,,1,,,1
Mary Ellen Meehan Fund,,31,,,31
Mary Sisler Bequest (by exchange) and purchase,,1,,,1
Monroe Wheeler Fund,,11,,,11
Mr. and Mrs. Clark B. Winter Jr.,1,,,,1
Mr. and Mrs. Clark Winter Fund,,1,,,1
Mrs. Akio Morita Fund,,13,,,13
Nina and Gordon Bunshaft Bequest,,7,,,7
Purchase,2,19,1,,22
Purchase (transferred from Museum Library),,1,,,1
"Purchased with funds given by  Susan G. Jacoby in honor of her mother Marjorie L. Goldberger, and the Frances R. Keech Fund",1,,,,1
Purchased with funds given by Barbara G. Pine,1,,,,1
Purchased with funds given by Harvey S. Shipley Miller,1,,,,1
Purchased with funds given by Patricia and Morris Orden,,1,,,1
Purchased with funds given by Patricia Phelps de Cisneros in honor of Gilberto Chateaubriand,,1,,,1
Purchased with funds given by Patricia Phelps de Cisneros in honor of Paulo Herkenhoff,,1,,,1
Purchased with funds given by Sarah-Ann and Werner H. Kramarsky,,1,,,1
Purchased with funds given by Susan G. Jacoby in honor of her mother Marjorie L. Goldberger,,1,,,1
Purchased with funds given by The Over Holland Foundation and The Friends of Education of The Museum of Modern Art,,1,,,1
"Purchased with funds given by the Robert Lehman Foundation, Inc.",,4,,,4
Purchased with funds provided by Agnes Gund,,1,,,1
Purchased with funds provided by Jo Carole and Ronald S. Lauder,,2,,,2
Purchased with funds provided by Marie-Josée and Henry R. Kravis,,1,,,1
Reba and Dave Williams Fund,,1,,,1
Richard A. Epstein Fund,1,,,,1
Riva Castleman Endowment Fund,,6,,,6
"Riva Castleman Endowment Fund, The Philip and Lynn Straus Foundation Fund, Frances Keech Fund, and by exchange: Nina and Gordon Bunshaft Bequest, Gift of James Thrall Soby, Anonymous, J. B. Neumann, and Victor S. Riesenfeld, Lillie P. Bliss Collection, and Abby Aldrich Rockefeller Fund",,4,,,4
Robert and Joyce Menschel Fund,,2,,,2
Robert B. Menschel Fund,,,1,,1
"Samuel J. Wagstaff, Jr. Fund",,1,,,1
Sarah C. Epstein Fund,,1,,,1
Sid R. Bass Fund,1,,,,1
The Family of Man Fund,,10,,,10
The Fellows of Photography Fund,,2,,,2
The Fellows of Photography Fund and Horace W. Goldsmith Fund through Robert B. Menschel,,1,,,1
The Herbert and Nannette Rothschild Memorial Fund in memory of Judith Rothschild,,1,,,1
"The Norman and Rosita Winston Foundation, Inc. Fund and an anonymous fund",1,,,,1
The Ralph E. Shikes Fund,2,10,1,,13
Virginia Cowles Schroth Fund,,1,,,1
Walter Bareiss Fund,,18,,,18
(blank),,1,1,,2
1998,137,891,98,,1126
Acquired from the Artist,,1,,,1
Acquired through the generosity of Agnes Gund,,16,,,16
Acquired through the generosity of Barbara Forshay-Miller,1,,,,1
Acquired through the generosity of Barbara Sahlman,1,,,,1
Acquired through the generosity of Barbara Wise,,9,,,9
Acquired through the generosity of Bernard J. Reis (by exchange),1,,,,1
Acquired through the generosity of Carol Littlefield,,1,,,1
Acquired through the generosity of Jo Carole and Ronald S. Lauder,,1,,,1
Acquired through the generosity of Joanne M. Stern in honor of the staff of the Department of Prints and Illustrated Books,,1,,,1
Acquired through the generosity of Margot and John Ernst,1,,,,1
Acquired through the generosity of Ronald and Judy Baron in honor of Susan Stevenson,,1,,,1
Acquired through the generosity of Sylvia de Cuevas,,1,,,1
Acquired through the generosity of the Edward and Marjorie Goldberger Foundation,,1,,,1
"Acquired through the generosity of The Junior Associates of The Museum of Modern Art, with contributions from Robert Beyer, Ellen R. Herman, Scott J. Lorinsky, Steven T. Mnuchin and Muffy Perlbinder",,1,,,1
Agnes Rindge Claflin Fund,,1,,,1
Andreas C. Dracopoulos Fund,,2,,,2
"Ann and Lee Fensterstock Fund, Alexandra Herzan Fund, and Virginia Cowles Schroth Fund",,1,,,1
Anonymous Gift,1,1,,,2
Arthur M. Bullowa Fund,,4,,,4
Barbara Jakobson Purchase Fund,,1,,,1
Christie Calder Salomon Fund,,1,,,1
Committee on Painting and Sculpture Funds,,2,,,2
David H. McAlpin Fund,,1,,,1
Douglas S. Cramer Fund,,1,,,1
E.T. Harmax Foundation Fund,,12,,,12
Emily and Jerry Spiegel and Emily Rauh Pulitzer Funds,,1,,,1
Fractional and promised gift of Jo Carole and Ronald S. Lauder in honor of David Rockefeller on his 100th birthday,,1,,,1
Fractional and promised gift of Leon and Debra Black,,1,,,1
Fractional and promised gift of Michael and Judy Ovitz,1,,,,1
Frances Keech Fund,,2,,,2
Geraldine J. Murphy Fund,1,,,,1
Gift of Agnes Gund,5,3,,,8
Gift of Agnes Gund and Committee on Painting and Sculpture Funds,1,,,,1
Gift of Agnes Gund in honor of Patricia Phelps de Cisneros,,1,,,1
"Gift of Agnes Gund, Elizabeth Kujawski, Tom Zoufaly, Elizabeth Klein, and Vlasta Odell in Memory of Jed Johnson",,1,,,1
"Gift of Agnes Gund, Helen Acheson Bequest (by exchange), and Thomas W. Weisel Fund",,1,,,1
"Gift of Ameico, Inc.",,1,,,1
Gift of Angela Westwater and Hanne Darboven,1,,,,1
Gift of Anna Marie and Robert F. Shapiro in honor of Robert Storr and Deborah Wye,,1,,,1
Gift of Arnold Smoller,,2,,,2
Gift of Barbara Bladen Porter,,4,,,4
Gift of Barbara Lee,1,,,,1
Gift of Betsy Wittenborn Miller and Robert Miller,,1,,,1
Gift of Betsy Wittenborn Miller and Robert Miller and Marcia Riklis Fund,,1,,,1
Gift of Betsy Wittenborn Miller and Robert Miller in honor of Carolyn Lanchner,,1,,,1
Gift of Brooke Alexander and of the artist,,9,,,9
Gift of C. Richard Becker,,1,,,1
Gift of Canon Inc.,,1,,,1
Gift of Carolyn Alexander and Ted Bonin,1,,,,1
Gift of Consuela Reyes,,1,,,1
Gift of Dan Redmon,2,,,,2
"Gift of Donald L. Bryant, Jr.",,1,,,1
Gift of Dorothy Miller,,1,,,1
Gift of Douglas S. Cramer Foundation,,1,,,1
Gift of Elaine Lustig Cohen,,1,,,1
Gift of Emily Fisher Landau,4,15,,,19
Gift of Emmett S. and Jamie L. Watson,,1,,,1
Gift of Familia Alvarez Bravo y Urbajtel,,1,,,1
Gift of Friends of Education,,2,,,2
Gift of Gabrielle and Michael Boyd,,1,,,1
Gift of Gloria Richards,,13,,,13
Gift of Gordon Randall Perry,,1,,,1
Gift of Harriet and Rick Meyer,1,,,,1
Gift of Helen and Paul Anbinder,,1,,,1
Gift of Helen Levitt,,2,,,2
Gift of Holly Solomon,,1,,,1
Gift of Hudson,,1,,,1
Gift of Irene Halsman,,2,,,2
Gift of Jack Banning and Mary Ellen Meehan,,1,,,1
Gift of Jane Halsman Bello,,6,,,6
Gift of Jane Smith in honor of Agnes Gund,,1,,,1
Gift of Jasper Johns,,2,,,2
Gift of Jo Carole and Ronald S. Lauder,,5,,,5
Gift of John C. Waddell,,3,1,,4
Gift of John Goodyear,17,23,1,,41
Gift of Judith Price,,3,,,3
Gift of Judy and Stuart Spence,,1,,,1
Gift of Kathleen Lingo in Memory of Linda McCartney,1,,,,1
Gift of Linda and Howard Karshan,,1,,,1
Gift of Linda Barth Goldstein,3,4,,,7
"Gift of Manuel Francisco do Nascimento Brito, Beatriz Pimenta Camargo, Gilberto Chateaubriand, Joachim Esteve, José Mindlin, and Maria de Lourdes Egydio Villela",,1,,,1
Gift of Margaret Weston,,1,,,1
Gift of Margot Ernst and Susan Jacoby,1,,,,1
Gift of Mary Ellen Meehan,,17,,,17
"Gift of Mazda Motor Corporation, California",,,3,,3
Gift of Mr. and Mrs. James Hunter,,1,,,1
Gift of Muse X Editions,,1,,,1
Gift of N. Carol Lipis,,8,,,8
Gift of Nancy and Joel Portnoy,1,,,,1
Gift of Norman Dubrow,,4,,,4
Gift of Parkett,,,4,,4
Gift of Patricia P. Irgens Larsen,,1,,,1
Gift of Patricia Phelps de Cisneros and the manufacturer,,1,,,1
Gift of Paul F. Walter,1,2,,,3
Gift of Paul F. Walter in honor of Matthew Bergey,,1,,,1
Gift of Philip Johnson,,9,,,9
Gift of Pierre N. Leval,,1,,,1
Gift of Richard Rubin,,1,,,1
Gift of Richard S. Zeisler,,1,,,1
Gift of Robert L. Smith,,9,,,9
Gift of Robert Menschel,,1,,,1
"Gift of Robert Miller Gallery, New York",,1,,,1
Gift of Robert T. Buck,,1,,,1
Gift of Sanford and Lisa Ehrenkranz,6,,,,6
Gift of Sarah-Ann and Werner H. Kramarsky,2,4,,,6
Gift of Susan G. Jacoby in memory of Edward Goldberger,,1,,,1
Gift of Susan Hornik,,7,1,,8
"Gift of The Andy Warhol Foundation for the Visual Arts, Inc.",,1,,,1
Gift of the artist,22,8,,,30
Gift of the Associates of the Department of Prints and Illustrated Books,,10,,,10
"Gift of the Business Committee for the Arts, Inc.",2,,,,2
Gift of the designer,1,37,,,38
Gift of the Emshwiller Family,,1,,,1
Gift of the Estate of Fairfield Porter,,2,,,2
Gift of the Friends of Contemporary Drawing,2,4,,,6
Gift of The Howard Gilman Foundation,,1,,,1
Gift of the Jerome Foundation in honor of its founder Jerome Hill,,1,,,1
"Gift of the Jerome Foundation in honor of its founder, Jerome Hill",2,,,,2
Gift of The Judith Rothschild Foundation,1,,,,1
Gift of The Junior Associates of The Museum of Modern Art,1,1,,,2
Gift of The Junior Associates of The Museum of Modern Art and the manufacturer,,1,,,1
"Gift of The Lauder Foundation, Leonard and Evelyn Lauder Fund",,2,,,2
Gift of the manufacturer,,28,5,,33
Gift of the Oiticica Family,,2,,,2
Gift of The Photo Review with funds provided by Catherine and David Steinman,,1,,,1
Gift of the photographer,1,18,,,19
Gift of The Print Club of New York,,1,,,1
Gift of the Richard Florsheim Art Fund,1,,,,1
Gift of the Rodchenko family,,17,,,17
Gift of Thea Westreich and Ethan Wagner,,1,,,1
Gift of Ubu Gallery,,1,,,1
Gift of Varvara Alexandrovna Rodchenko and Alexander N. Lavrentiev,,2,,,2
Gift of Varvara Rodchenko and Aleksandr Laverent'ev,,1,,,1
Gift of Victoria E. Schonfeld and Victor Friedman,4,,,,4
Gift of Wendy Larsen,,1,,,1
Gift of Wm. Brian Little,,5,,,5
Gift of Woodrow and Maria Campbell,,1,,,1
Gift of Yvonne Halsman,,1,,,1
"Gift of, and restoration funded by, the Jerome Foundation",,1,,,1
Horace W. Goldsmith Fund through Robert B. Menschel,3,2,,,5
Horace W. Goldsmith Fund through Robert B. Menschel and purchase,,164,,,164
Jacqueline Brody Fund and Harry Kahn Fund,,10,,,10
John B. Turner Fund,3,8,,,11
John Parkinson III Fund,1,1,1,,3
Linda Barth Goldstein Fund,1,2,,,3
Lois and Bruce Zenkel Fund,1,3,,,4
Mary Ellen Meehan Fund,1,1,,,2
Monroe Wheeler Fund,,1,,,1
"Mr. & Mrs. Clark B. Winter, Jr. Fund",,1,,,1
"Mr. and Mrs. Clark B. Winter, Jr. Fund",,1,,,1
Mr. and Mrs. Thomas H. Lee Fund,,1,,,1
Mrs. John D. Rockefeller III Fund,,1,,,1
Mrs. John Hay Whitney Bequest,,5,,,5
Nina and Gordon Bunshaft Bequest,,1,,,1
Purchase,,16,,,16
Purchase and anonymous promised gift,1,,,,1
Purchase and gift of Barbara Schwartz in memory of Eugene M. Schwartz,,112,,,112
"Purchase, and gift of Barbara Schwartz in memory of Eugene M. Schwartz",,1,,,1
Purchased with funds given by Barbara G. Pine,,1,,,1
Purchased with funds given by Jan Christiaan Braun,1,,,,1
Purchased with funds given by Joanne Stern and Purchase Fund,,1,,,1
Purchased with funds given by Leon D. Black and Purchase Fund,,1,,,1
Purchased with funds given by Maria de Lourdes Egydio Villela,,1,,,1
"Purchased with funds given by Mr. and Mrs. Roger Berlind, Constance B. Cartwright, Mr. and Mrs. Gifford Phillips, and Richard E. Salomon; and gift of an anonymous donor (by exchange), Lincoln Kirstein (by exchange), and H. S. Ede in honor of Paul J. Sachs (by exchange)",,1,,,1
Purchased with funds given by Mr. Gilberto Chateaubriand and Mr. M.F. do Nascimento Brito,,1,,,1
Purchased with funds given by Sarah-Ann and Werner H. Kramarsky,,2,,,2
Purchased with funds given by Sheldon H. Solow,,2,,,2
Purchased with funds given by Susan G. Jacoby in honor of her mother Marjorie L. Goldberger and gift of the Friends of Contemporary Drawing,1,,,,1
Purchased with funds given by The Edward John Noble Foundation,,1,,,1
Purchased with funds given by The Judith Rothschild Foundation,,2,,,2
Purchased with funds given by The Judith Rothschild Foundation and Purchase Fund,,1,,,1
Purchased with funds provided by Marie-Josée and Henry R. Kravis and Agnes Gund,,1,,,1
Purchased with funds provided by Mr. and Mrs. Edmond J. Safra in honor of Marie-Josée and Henry R. Kravis,,1,,,1
Ralph Fehlbaum Purchase Fund,,1,,,1
"Riva Castleman Endowment Fund, Lily Auchincloss Fund",,1,1,,2
"Riva Castleman Endowment Fund, Lily Auchincloss Fund, and Gift of Parkett",16,66,64,,146
"Riva Castleman Endowment Fund, The Philip and Lynn Straus Foundation Fund, Lily Auchincloss Fund, Nelson Blitz, Jr. with Catherine Woodard and Perri and Allison Blitz, Sarah C. Epstein Fund, Richard A. Epstein Fund, Miles O. Epstein Fund, Johanna and Leslie J. Garfield Fund, and Purchase",,1,,,1
"Rob Beyer Purchase Fund, Edward Larrabee Barnes Purchase Fund, Marcel Breuer Purchase Fund, and Philip Johnson Purchase Fund",,1,,,1
Robert and Joyce Menschel Fund,,3,,,3
"Samuel J. Wagstaff, Jr. Fund",,20,,,20
The Associates Fund,,1,,,1
The Family of Man Fund,15,30,,,45
The Philip and Lynn Straus Foundation Fund,1,,,,1
The Photography Council Fund,,1,,,1
The Ralph E. Shikes Fund,,1,,,1
The Ralph E. Shikes Fund and Purchase,,1,,,1
The Sidney and Harriet Janis Collection (by exchange),,1,,,1
Walter Bareiss Fund,,2,,,2
(blank),,1,17,,18
1999,146,1423,163,,1732
"Acquired from Film Polski
",,1,,,1
Acquired from Kit-Ming Li with funding from The Junior Associates of The Museum of Modern Art,,1,,,1
Acquired from the Artist,,1,,,1
"Acquired from the Rainer Werner Fassbinder Foundation, 1999, and New Yorker Films, 2004",,1,,,1
Acquired in honor of Joanne M. Stern by the Committee on Prints and Illustrated Books in appreciation for her contribution as Committee Chair,,1,,,1
"Acquired through the generosity of Agnes Gund and Daniel Shapiro in honor of Gabriella De Ferrari and Sally Ganz, and their friendships with the artist",,1,,,1
"Acquired through the generosity of Andrew Shapiro, in honor of his mother, Anna Marie Shapiro",,7,,,7
Acquired through the generosity of Barbara Forshay-Miller,5,,,,5
Acquired through the generosity of Bernard J. Reis (by exchange),,1,,,1
"Acquired through the generosity of Catherine Woodard and Nelson Blitz, Jr. in honor of Perri and Allie Blitz",,1,,,1
Acquired through the generosity of Edward and Evanne Gargiulo,1,,,,1
Acquired through the generosity of Gabriella De Ferrari,,1,,,1
Acquired through the generosity of Susan Jacoby,1,,,,1
"Acquired through the generosity of the Katsko Suzuki Memorial Fund, the Riva Castleman Endowment Fund, David Rockefeller, The Philip and Lynn Straus Foundation Fund, and Agnes Gund and Daniel Shapiro; Linda and Bill Goldstein, Mr. and Mrs. Herbert D. Schimmel, the Edward John Noble Foundation, and the Associates of the Department of Prints and Illustrated Books; The Cowles Charitable Trust, Nelson Blitz, Jr. with Catherine Woodard and Perri and Allison Blitz, Mary Ellen Meehan, and Anna Marie and Robert F. Shapiro; and Ruth and Louis Aledort, Carol and Bert Freidus, David S. Orentreich, M.D., and Susan and Peter Ralston",,1,,,1
Acquisition from the Werner Dannheisser Testamentary Trust,,1,,,1
Anonymously given,,1,,,1
Barbara Jakobson Purchase Fund,,1,,,1
Barbara Lee Fund,2,,,,2
Bequest of Antonio Saura,,2,,,2
Bequest of Mr. Antonio Saura,,3,,,3
Committee on Drawings Funds,,1,,,1
Committee on Painting and Sculpture Funds,,1,,,1
David H. McAlpin Fund,,1,,,1
Dorothy Braude Edinburg Fund,1,1,,,2
"Douglas S. Cramer, Emily Fisher Landau, and Anna Marie and Robert F. Shapiro Funds",,1,,,1
E.T. Harmax Foundation Fund,1,4,,,5
Edward and Marjorie Goldberger Foundation Fund and The Herbert and Nannette Rothschild Memorial Fund in memory of Judith Rothschild,,2,,,2
Enid A. Haupt Fund and The Sidney and Harriet Janis Collection (by exchange),,1,,,1
Estate of Patricia Bonfield,,1,,,1
Fractional and promised gift of Jerry I. Speyer,,1,,,1
Fractional and promised gift of Leon and Debra Black,,1,,,1
Fractional and promised gift of Marie-Josée and Henry R. Kravis,,1,,,1
Fractional and promised gift of Mr. and Mrs. Bill Lenox,,1,,,1
Fractional and promised gift of Robert H. Bergman and Marie Krane Bergman,,1,,,1
Frances Keech Fund,1,,,,1
Geraldine J. Murphy Fund,,2,,,2
Gift of  Werner and Elaine Dannheisser,,1,,,1
Gift of agnès b. and Hans-Ulrich Obrist,6,,,,6
Gift of Agnes Gund and Daniel Shapiro,2,10,,,12
Gift of Anna Marie Shapiro,2,,,,2
"Gift of Arne and Millie Glimcher, Sid R. Bass, Doris and Donald Fisher, and Emily Rauh Pulitzer Funds",,1,,,1
Gift of Bruce Berman,,4,,,4
Gift of Carole and Alex Rosenberg,1,,,,1
Gift of Dan Redmon,2,1,,,3
Gift of David Teiger and the Friends of Contemporary Drawing,,1,,,1
Gift of Eileen and Peter Norton,1,10,,,11
Gift of Ellsworth Kelly,,2,,,2
Gift of Emily Fisher Landau,13,2,,,15
Gift of Gabriella De Ferrari,,1,,,1
Gift of Gabriella de Ferrari in honor of Karen Davidson,1,,,,1
Gift of Gayle Greenhill,,1,,,1
Gift of George and Joyce Wein and Emily Fisher Laudau Fund,,1,,,1
Gift of Howard Schickler,,12,,,12
Gift of Hudson,1,2,,,3
Gift of Jean-Christophe Castelli,,9,1,,10
Gift of Jeanne Thayer,,28,,,28
Gift of Jeff Rothstein and Reiko Tomii in memory of Bhupendra Karia,1,,,,1
Gift of Jo Carole and Ronald S. Lauder,,2,,,2
Gift of Jo Carole and Ronald S. Lauder and by Exchange,,1,,,1
"Gift of Jo Carole and Ronald S. Lauder in honor of the Japanese members of The International Council of The Museum of Modern Art, Mr. and Mrs. Toshio Hara, Mr. and Mrs. Minoru Mori, Mr. and Mrs. Takeo Obayashi, and Mr. and Mrs. Seiji Tsutsumi",1,,,,1
"Gift of Jo Carole and Ronald S. Lauder, Leon Black, Donald L. Bryant, Jr., Thomas W. Weisel, Doris and Donald Fisher, Mimi and Peter Haas, and Enid A. Haupt Fund",,1,,,1
Gift of Joyce Pomeroy Schwartz,1,1,,,2
Gift of Judith and Steven Katten,,2,,,2
"Gift of Lee and Ann Fensterstock, in honor of their daughters, Kate and Jane",,265,,,265
Gift of Luiz Buarque de Hollanda,1,1,,,2
Gift of Marc A. Schwartz,5,,,,5
Gift of Martin and Rebecca Eisenberg,,1,,,1
Gift of Michael H. Schwartz,,1,,,1
Gift of Miramax Films.,,1,,,1
Gift of Monika Dillon,1,,,,1
Gift of Mr. and Mrs. Eugene Mercy in honor of Robert Menschel,,1,,,1
Gift of Mrs. Dallas Ernst,,1,,,1
Gift of Parkett,,,4,,4
Gift of Patricia and Morris Orden,,2,,,2
Gift of Patricia Phelps de Cisneros in honor of Glenn D. Lowry,,1,,,1
"Gift of Patricia Phelps de Cisneros, The Lauder Foundation, Leonard and Evelyn Lauder Fund, and Victoria Newhouse Purchase Fund",,1,,,1
Gift of Paul F. Walter,,3,,,3
Gift of Paulo Herkenhoff in memory of Alfredo Fontes,,1,,,1
Gift of Peter Norton,3,4,,,7
"Gift of Peter Norton, Norton Family Foundation",,1,,,1
Gift of Pierre N. Leval,,1,,,1
Gift of Robert and Joyce Menschel,,10,,,10
Gift of Robert and Sylvie Liska in honor of Jo Carole and Ronald S. Lauder,,2,,,2
Gift of Robert and Sylvie Liska in honor of Ronald and Jo Carole Lauder,,1,,,1
Gift of Robert Rauschenberg,,3,,,3
Gift of Sarah-Ann and Werner H. Kramarsky,13,15,,,28
Gift of Tara Reddi,,1,,,1
Gift of the artist,24,115,,,139
Gift of the artist in honor of the Young Print Collectors of the Department of Prints and Illustrated Books,1,,,,1
Gift of the artist in memory of Penny McCall,1,,,,1
Gift of the artist's estate,,3,,,3
Gift of the Associates of the Department of Prints and Illustrated Books,,3,,,3
Gift of the designer,1,5,,,6
"Gift of the Duke University Rare Book, Manuscript, and Special Collections Library",,33,,,33
Gift of the Family of James Castle,,5,,,5
Gift of the Freedman Family in memory of Doris C. and Alan J. Freedman,1,,,,1
Gift of the Friends of Contemporary Drawing,,8,,,8
Gift of the Friends of Contemporary Drawing and of The Friends of Education of The Museum of Modern Art,,1,,,1
"Gift of the Friends of Contemporary Drawing, the Contemporary Arts Council, and The Junior Associates of The Museum of Modern Art",,1,,,1
Gift of The Grace M. Mayer Collection,1,,,,1
"Gift of the Jerome Foundation in honor of its founder, Jerome Hill",,2,,,2
"Gift of the Jerome Foundation in honor of its founder, Jerome Hill
",1,,,,1
Gift of The Junior Associates of The Museum of Modern Art,8,,,,8
"Gift of The Junior Associates of The Museum of Modern Art, with special contributions from Anonymous, Scott J. Lorinsky, Yasufumi Nakamura, and The Wider Foundation",,1,,,1
Gift of the Katten Family,,2,,,2
Gift of the manufacturer,,4,3,,7
Gift of the Oiticica Family,,1,,,1
Gift of the Peter Norton Family Foundation,,2,,,2
Gift of the photographer,,6,,,6
"Gift of the photographer, by exchange",,1,,,1
"Gift of the Sari Dienes Foundation, Inc.",1,,,,1
Gift of the Young Print Collectors of the Department of Prints and Illustrated Books,,12,,,12
Gift of Thea Westreich and Ethan Wagner,,2,,,2
Gift of Ulrich and Harriet Meyer,,1,,,1
Gift of Ville Veijalainen,,1,,,1
Gift of Wendy Larsen,2,1,,,3
Gilbert Kaplan Fund and Miranda Kaiser Fund,,1,,,1
Given anonymously,1,5,,,6
Given anonymously in honor of Agnes Gund and Daniel Shapiro,,2,,,2
Horace W. Goldsmith Fund through Robert B. Menschel,,7,,,7
Howard Johnson Fund,1,2,,,3
Jacqueline Brody Fund,4,1,,,5
"Jan Tschichold Collection, Gift of Philip Johnson",,568,148,,716
"Jeffrey P. Klein Purchase Fund, Barbara Pine Purchase Fund, and Frederieke Taylor Purchase Fund",,1,,,1
Joanne M. Stern Fund,,1,,,1
Johanna and Leslie J. Garfield Fund,1,1,,,2
John B. Turner Fund,10,13,,,23
"John B. Turner Fund, with additional support from Catherine Woodard and Nelson Blitz, Jr. in memory of Jean Saklad",,1,,,1
John Parkinson III Fund,,2,,,2
"Lee and Ann Fensterstock Fund, the Contemporary Arts Council, the Junior Associates, and the Howard B. Johnson Fund",,9,,,9
Lily Auchincloss Fund and the Riva Castleman Endowment Fund,,1,,,1
Linda Barth Goldstein Fund,5,6,2,,13
Lois and Bruce Zenkel Fund,,3,,,3
Marcia Riklis Fund,1,,,,1
Mary Ellen Meehan Fund,1,5,,,6
Mimi and Peter Haas Fund,,1,,,1
Monroe Wheeler Fund,,1,,,1
"Monroe Wheeler Memorial Fund, Roxanne H. Frank Fund and partial gift of Charles Booth-Clibborn",,14,,,14
Mrs. Gifford Phillips Purchase Fund,,1,,,1
"Mrs. John Hay Whitney Bequest and The Sidney and Harriet Janis Collection (both by exchange), and gift of Irving Blum",,1,,,1
nGift of the manufacturer,,1,,,1
"Paula Cooper, Donald L. Bryant, Jr., and Andreas C. Dracopoulos Funds",,1,,,1
Pierre Matisse Foundation (by exchange),,1,,,1
Purchase,10,17,1,,28
Purchase and an anonymous gift and Louise Reinhardt Smith Bequest (both by exchange),,1,,,1
"Purchase and gift of Barbara Schwartz in memory of Eugene M. Schwartz, by exchange",,12,,,12
Purchase Fund,,3,,,3
Purchase through the Vincent D'Aquila and Harry Soviak Bequest Fund,,1,,,1
"Purchase through the Vincent D'Aquila and Harry Soviak Bequest Fund, The Judith Rothschild Foundation, and Purchase Fund",,1,,,1
"Purchased with funds given by Leon D. Black, Marie-Josée and Henry R. Kravis, Jo Carole and Ronald S. Lauder, and the Richard E. Salomon Family",,1,,,1
Purchased with funds given by Marie-Josée and Henry R. Kravis,,1,,,1
Purchased with funds given by Richard E. Salomon,,1,,,1
Purchased with funds given by Richard E. Salomon and purchase through the Vincent D'Aquila and Harry Soviak Bequest Fund,,1,,,1
Purchased with funds given by Sarah-Ann and Werner H. Kramarsky,,2,,,2
Purchased with funds provided by Marie-Josée and Henry R. Kravis,,2,,,2
"Purchased with funds provided by Marie-Josée and Henry R. Kravis, Ms. Marlene Hess and Purchase Fund",,1,,,1
Purchased with funds provided by Sheldon H. Solow,,1,,,1
Purchased with funds provided by The Edward John Noble Foundation and Purchase Fund,,1,,,1
"Purchased with proceeds from the 1998 ""Clue"" event, sponsored by the Junior Associates of The Museum of Modern Art, New York",1,,,,1
Ralph E. Shikes Fund,1,1,,,2
"Richard A. Epstein Fund, Miles O. Epstein Fund, Sarah C. Epstein Fund, Philip and Lynn Straus Foundation Fund, and the Robert and Anna Marie Shapiro Fund",,1,,,1
Richard S. Zeisler Purchase Fund,,1,,,1
Riva Castleman Endowment Fund,,1,,,1
Robert and Anna Marie Shapiro Fund,,2,,,2
"Robert and Anna Marie Shapiro Fund, and Gift of Parkett",,,2,,2
Robert K. and Barbara J. Straus Family Foundation,,1,,,1
"Robert K. and Barbara J. Straus Family Foundation, Inc.",,1,,,1
"Samuel J. Wagstaff, Jr. Fund",,1,,,1
Scott Burton Fund,,1,,,1
The Family of Man Fund,,23,,,23
The Photography Council Fund and gift of the Junior Associates of The Museum of Modern Art,,1,,,1
The Print Associates Fund,,19,,,19
The Ralph E. Shikes Fund,,2,,,2
Virginia Cowles Schroth Fund,,1,,,1
Walter Bareiss Fund,,3,,,3
(blank),2,3,2,,7
2000,206,1571,23,,1800
Acquired from the Artist,1,,,,1
